comparison_group,trajectory_bin,mean,count,std,se,ci_low,ci_high
comparison,1,-0.03639790050488929,2745,0.3229957716271483,0.00616489469413759,-0.04848109410539896,-0.02431470690437961
comparison,2,-0.033457413166440665,1826,0.3564508133119946,0.008341597365643175,-0.04980694400310129,-0.01710788232978004
comparison,3,-0.025257319715072554,2119,0.3434980768603282,0.00746206162931341,-0.03988296050852684,-0.01063167892161827
comparison,4,-0.020596869215005725,1826,0.35201128792544223,0.008237704396722504,-0.03674276983258183,-0.004450968597429619
comparison,5,0.0027059983947145777,2966,0.35528056760435534,0.006523578318580148,-0.010080215109702511,0.015492211899131667
wontfix,1,-0.03839860848165044,1144,0.3264852819228068,0.0096527397154473,-0.057317978323927155,-0.019479238639373734
wontfix,2,-0.02480883132156158,805,0.34188845306043464,0.012049984631110892,-0.04842680119853893,-0.001190861444584232
wontfix,3,-0.05214100850678709,882,0.3326053302892043,0.011199404024108942,-0.07409184039404061,-0.030190176619533562
wontfix,4,-0.04507068210566086,805,0.3332754216832824,0.011746415163371032,-0.06809365582586809,-0.02204770838545364
wontfix,5,-0.010119966858211519,1256,0.3063569824459151,0.008644362356590773,-0.027062917077129434,0.006822983360706398
