metric,value
rq1_rows_raw,8116
comment_feature_rows_raw,22180
rq1_rows_normalized,8116
comment_feature_rows_normalized,22180
rq1_duplicate_issue_keys,2
comment_duplicates,0
repos_represented,22
analysis_groups,"['comparison', 'wontfix']"
rows_missing_core_sentiment_feature,0
rows_missing_participation_covariates,0
rows_not_marked_usable_for_rq1,-16228
issues_final,8114
repos_final,22
issues_analysis_set__comparison,5888
issues_analysis_set__wontfix,2226
issues_comparison_group__comparison,5888
issues_comparison_group__wontfix,2226
comment_count_median,2.0
comment_count_mean,2.733546955878728
comments_with_text_count_median,2.0
comments_with_text_count_mean,2.733546955878728
unique_commenter_count_median,1.0
unique_commenter_count_mean,1.8662805028346068
zero_comment_issue_share,0.11400049297510476
zero_text_comment_issue_share,0.11400049297510476
one_commenter_issue_share,0.506531920138033
missing_share__mean_comment_sentiment,0.0
missing_share__median_comment_sentiment,0.0
missing_share__min_comment_sentiment,0.0
missing_share__max_comment_sentiment,0.0
missing_share__std_comment_sentiment,0.0
missing_share__comment_sentiment_change_late_minus_early,0.0
missing_share__comment_sentiment_slope,0.0
missing_share__negative_comment_share,0.0
missing_share__positive_comment_share,0.0
comments_final,22180
comment_missing_text_share,0.0
